"Beat","count"
1713,"2709"
1733,"2892"
2431,"2049"
732,"3203"
1531,"5066"
1711,"2636"
2022,"1347"
314,"3070"
2535,"4137"
2522,"3281"
431,"4407"
424,"4501"
433,"3230"
911,"2584"
2331,"598"
734,"3283"
1933,"3027"
1123,"4300"
1113,"5002"
2124,"693"
1612,"1652"
1831,"6972"
1331,"790"
2423,"2538"
2433,"3229"
1811,"2745"
932,"3375"
711,"3854"
1433,"3619"
2532,"4722"
1235,"1931"
311,"2749"
733,"4026"
2311,"887"
1833,"5645"
121,"2480"
2523,"3149"
1651,"2250"
113,"3887"
1122,"5556"
1722,"3520"
634,"3851"
1431,"2437"
1322,"536"
632,"5925"
1031,"3786"
1932,"2493"
815,"4622"
1422,"3645"
2413,"4431"
2332,"526"
1911,"2578"
914,"3413"
1313,"738"
1533,"7358"
824,"4296"
2122,"776"
1124,"3378"
2313,"543"
2032,"1544"
331,"4673"
1024,"4161"
2112,"691"
913,"3545"
1021,"4519"
1032,"2229"
2322,"441"
531,"3982"
1614,"1979"
1232,"3568"
624,"7164"
321,"5657"
1312,"777"
2424,"2992"
2223,"4343"
1652,"191"
1622,"3718"
631,"5843"
233,"2700"
1934,"2642"
1913,"3288"
2514,"3705"
822,"4267"
2533,"6229"
823,"6383"
1914,"2825"
1115,"3766"
1611,"1847"
1724,"2965"
723,"4225"
2534,"5426"
1432,"3604"
2524,"2683"
231,"3006"
1121,"6170"
512,"5686"
1653,"683"
1213,"2933"
523,"5091"
1513,"3438"
722,"3106"
133,"3042"
724,"3288"
1311,"834"
1922,"2613"
414,"6511"
1134,"5435"
1323,"955"
1222,"3143"
1921,"1750"
735,"4287"
714,"2858"
1813,"1755"
2412,"3205"
1511,"3724"
2023,"2221"
924,"3677"
1522,"6523"
1931,"2608"
2521,"4604"
2211,"2940"
2011,"3291"
1011,"6334"
222,"3926"
1324,"765"
1012,"3735"
2333,"592"
1212,"2872"
922,"3775"
432,"4205"
611,"5184"
2323,"389"
1214,"3024"
621,"6703"
1332,"782"
1231,"3253"
1111,"4406"
931,"3144"
811,"3146"
1613,"1722"
934,"3438"
1712,"4249"
623,"5803"
814,"3164"
1654,"1030"
1112,"7209"
713,"5512"
1135,"4682"
1023,"2972"
2234,"4426"
1935,"2620"
633,"3281"
511,"7467"
132,"3514"
1633,"4076"
322,"3896"
1414,"2596"
2525,"2480"
1333,"498"
1234,"2570"
1034,"3668"
712,"5498"
2013,"2020"
513,"5937"
1523,"4560"
2422,"4520"
1824,"4491"
323,"4815"
114,"3255"
1912,"2323"
1634,"3286"
1823,"2577"
112,"6649"
2131,"570"
2113,"854"
1413,"2466"
613,"4622"
124,"3802"
522,"5374"
2232,"3978"
1723,"4559"
821,"2919"
715,"2620"
2212,"4491"
235,"1289"
1132,"6217"
1924,"4426"
1623,"3553"
1022,"4525"
2233,"3608"
214,"2811"
1834,"9463"
412,"4620"
2432,"3212"
532,"3491"
1532,"5276"
1925,"3045"
812,"2478"
1434,"4134"
232,"2683"
1915,"1855"
2324,"502"
622,"3881"
1814,"3006"
725,"4933"
131,"3959"
324,"4984"
212,"4030"
832,"5172"
1624,"3058"
921,"2627"
1221,"2553"
1923,"3412"
1821,"4400"
2012,"1738"
1832,"3402"
834,"4977"
2024,"2046"
1732,"3656"
831,"5415"
1233,"3174"
813,"5319"
2132,"881"
225,"2262"
1211,"3447"
1524,"4384"
1411,"2644"
333,"3126"
1423,"3424"
2222,"4077"
1655,"215"
213,"2988"
134,"986"
1114,"2428"
334,"3446"
1224,"3653"
2221,"3463"
833,"5178"
223,"3091"
2531,"3438"
2312,"561"
1424,"5160"
2511,"2659"
221,"2723"
1512,"3255"
524,"4703"
2133,"406"
430,"2"
1013,"3919"
312,"5202"
2411,"3622"
533,"5183"
915,"3649"
111,"6598"
1133,"5913"
123,"5352"
2213,"2939"
2123,"881"
726,"3391"
1822,"4138"
1215,"2745"
1632,"2563"
1631,"2286"
224,"2699"
2111,"403"
413,"4196"
1412,"3113"
933,"2867"
423,"7667"
925,"2587"
313,"3964"
1223,"3941"
1225,"2673"
2033,"1594"
2031,"1871"
1621,"1204"
2515,"4371"
421,"8216"
2513,"2039"
1731,"3442"
411,"4295"
614,"3919"
1033,"3164"
835,"5056"
122,"6457"
2512,"4856"
923,"3073"
825,"5380"
234,"3200"
434,"2126"
211,"3703"
731,"3607"
935,"2987"
332,"4584"
1014,"4074"
1812,"2760"
1131,"4799"
1125,"2049"
422,"4450"
215,"1711"
1421,"3096"
912,"4141"
612,"6164"
